,Tissue,url
1,Bladder,https://figshare.com/ndownloader/files/48933106
2,Bone marrow,https://figshare.com/ndownloader/files/48933112
3,Brain,https://figshare.com/ndownloader/files/48933118
4,Breast,https://figshare.com/ndownloader/files/48933121
5,Eye,https://figshare.com/ndownloader/files/48933157
6,Heart,https://figshare.com/ndownloader/files/48933148
7,Intestine,https://figshare.com/ndownloader/files/48933154
8,Kidney,https://figshare.com/ndownloader/files/48933139
9,Liver,https://figshare.com/ndownloader/files/48933163
10,Lungs,https://figshare.com/ndownloader/files/48933151
11,Pancreas,https://figshare.com/ndownloader/files/48933142
12,PBMC,https://figshare.com/ndownloader/files/48933145
13,Skin,https://figshare.com/ndownloader/files/48933166
